level0,level1,level2,level3a,domain,comments
s tree,s tree,Unknown tree,Unknown tree,Illinois v2.0,
s. cherry,s. cherry,Cherry,Cherry,Illinois v2.0,
s. elm,s. elm,Elm,Elm,Illinois v2.0,
s. gum,s. gum,Sweet gum,Sweet gum,Illinois v2.0,
s. hickory,s. hickory,Hickory,Hickory,Illinois v2.0,
s. maple,s. maple,Maple,Maple,Illinois v2.0,
s. oak,s. oak,Oak,Oak,Illinois v2.0,
s.o.,s.o.,Oak,Oak,Illinois v2.0,
safrfras,safrfras,Sassafrass,Other hardwood,Illinois v2.0,
safsafras,safsafras,Sassafrass,Other hardwood,Illinois v2.0,
safsafrass,safsafrass,Sassafrass,Other hardwood,Illinois v2.0,
sasafras,sasafras,Sassafrass,Other hardwood,Illinois v2.0,
sasafrass,sasafrass,Sassafrass,Other hardwood,Illinois v2.0,
sasasfras,sasasfras,Sassafrass,Other hardwood,Illinois v2.0,
sasfras,sasfras,Sassafrass,Other hardwood,Illinois v2.0,
sass,sass,Sassafrass,Other hardwood,Illinois v2.0,
sassafra,sassafra,Sassafrass,Other hardwood,Illinois v2.0,
sassafras,sassafras,Sassafrass,Other hardwood,Illinois v2.0,
sassafras tree,sassafras tree,Sassafrass,Other hardwood,Illinois v2.0,
sassafrass,sassafrass,Sassafrass,Other hardwood,Illinois v2.0,
sassfrass,sassfrass,Sassafrass,Other hardwood,Illinois v2.0,
sc. species,sc. species,Unknown tree,Unknown tree,Illinois v2.0,
scaly bark hickory,scaly bark hickory,Scalybark hickory,Hickory,Illinois v2.0,
scrub oak,scrub oak,Oak,Oak,Illinois v2.0,
scrubb oak,scrubb oak,Oak,Oak,Illinois v2.0,
scrubby oak,scrubby oak,Oak,Oak,Illinois v2.0,
scruby hickory,scruby hickory,Hickory,Hickory,Illinois v2.0,
sealy bark hickory,sealy bark hickory,Scalybark hickory,Hickory,Illinois v2.0,CVC level 2 would be scalybark hickory level 3a is hickory
servicebrry,servicebrry,Serviceberry,Other hardwood,Illinois v2.0,
shell bark hickory,shell bark hickory,Shellbark hickory,Hickory,Illinois v2.0,
shellbark hickory,shellbark hickory,Shellbark hickory,Hickory,Illinois v2.0,
shugar,shugar,Sugar tree,Maple,Illinois v2.0,
shugar tree,shugar tree,Sugar tree,Maple,Illinois v2.0,
shugartree,shugartree,Sugar tree,Maple,Illinois v2.0,
shugurtree,shugurtree,Maple,Maple,Illinois v2.0,
sicamore,sicamore,Sycamore,Sycamore,Illinois v2.0,
sickamore,sickamore,Sycamore,Sycamore,Illinois v2.0,
simin,simin,Persimmon,Other hardwood,Illinois v2.0,
simmon,simmon,Persimmon,Other hardwood,Illinois v2.0,
simmon tree,simmon tree,Persimmon,Other hardwood,Illinois v2.0,
siprus,siprus,Cypress,Bald cypress,Illinois v2.0,
slippery elm,slippery elm,Elm,Elm,Illinois v2.0,
so,so,Oak,Oak,Illinois v2.0,
soft maple,soft maple,Maple,Maple,Illinois v2.0,
sp oak,sp oak,Spanish oak,Oak,Illinois v2.0,CVC finally sp. o is definitely spanish oak so s o is possibly swamp oak
sp. oak,sp. oak,Spanish oak,Oak,Illinois v2.0,
span o,span o,Spanish oak,Oak,Illinois v2.0,
span oak,span oak,Spanish oak,Oak,Illinois v2.0,
span. oak,span. oak,Spanish oak,Oak,Illinois v2.0,
spanis oak,spanis oak,Spanish oak,Oak,Illinois v2.0,
spanish o,spanish o,Spanish oak,Oak,Illinois v2.0,
spanish oak,spanish oak,Spanish oak,Oak,Illinois v2.0,
span-oak,span-oak,Spanish oak,Oak,Illinois v2.0,
sph o,sph o,Spanish oak,Oak,Illinois v2.0,
spn o,spn o,Spanish oak,Oak,Illinois v2.0,
sug,sug,Maple,Maple,Illinois v2.0,
sug maple,sug maple,Maple,Maple,Illinois v2.0,
sug tree,sug tree,Maple,Maple,Illinois v2.0,
sug. tree,sug. tree,Maple,Maple,Illinois v2.0,
sugar,sugar,Sugar tree,Maple,Illinois v2.0,CVC level 2 would be sugar
sugar maple,sugar maple,Sugar maple,Maple,Illinois v2.0,
sugar tree,sugar tree,Sugar tree,Maple,Illinois v2.0,CVC level 2 would be sugar or sugar tree
sugartree,sugartree,Sugar tree,Maple,Illinois v2.0,
sugr,sugr,Maple,Maple,Illinois v2.0,
sugtree,sugtree,Maple,Maple,Illinois v2.0,
sw gum,sw gum,Sweet gum,Sweet gum,Illinois v2.0,
swamp ash,swamp ash,Swamp ash,Ash,Illinois v2.0,
swamp black oak,swamp black oak,Black oak,Oak,Illinois v2.0,
swamp elm,swamp elm,Elm,Elm,Illinois v2.0,
swamp oak,swamp oak,Swamp oak,Oak,Illinois v2.0,
swamp w oak,swamp w oak,Oak,Oak,Illinois v2.0,
swamp willow,swamp willow,Willow,Willow,Illinois v2.0,
sweet gum,sweet gum,Sweet Gum,Sweet gum,Illinois v2.0,
swp elm,swp elm,Elm,Elm,Illinois v2.0,
syc.,syc.,Sycamore,Sycamore,Illinois v2.0,
sycam,sycam,Sycamore,Sycamore,Illinois v2.0,
sycamore,sycamore,Sycamore,Sycamore,Illinois v2.0,
sychamore,sychamore,Sycamore,Sycamore,Illinois v2.0,
syck,syck,Sycamore,Sycamore,Illinois v2.0,
syckamor,syckamor,Sycamore,Sycamore,Illinois v2.0,
syckamore,syckamore,Sycamore,Sycamore,Illinois v2.0,
syckomory,syckomory,Sycamore,Sycamore,Illinois v2.0,
thorn,thorn,Thorn tree,Other hardwood,Illinois v2.0,CVC explicitly this is thorn very likely Rose tree at level 3a; JP changed Level 2 from Hawthorn to Thorn
thorn plum,thorn plum,Other hardwood,Other hardwood,Illinois v2.0,
thorn tree,thorn tree,Other hardwood,Other hardwood,Illinois v2.0,
thornbush,thornbush,Other hardwood,Other hardwood,Illinois v2.0,
thorny tree,thorny tree,Thorn tree,Other hardwood,Illinois v2.0,
tree,tree,Unknown tree,Unknown tree,Illinois v2.0,JP checked notes - was written just tree.
turkey oak,turkey oak,Oak,Oak,Illinois v2.0,
w,w,Unknown tree,Unknown tree,Illinois v2.0,
w  o,w  o,White oak,Oak,Illinois v2.0,
w (99999),w (99999),Unknown tree,Unknown tree,Illinois v2.0,
w (slightly covered by finger) oak,w (slightly covered by finger) oak,White oak,Oak,Illinois v2.0,
w 88888,w 88888,Unknown tree,Unknown tree,Illinois v2.0,
w 99999,w 99999,Unknown tree,Unknown tree,Illinois v2.0,
w ash,w ash,Ash,Ash,Illinois v2.0,
w beech,w beech,Water beech,Ironwood,Illinois v2.0,
w elm,w elm,White elm,Elm,Illinois v2.0,
w hky,w hky,White hickory,Hickory,Illinois v2.0,white hickories are in our range: https://en.wikipedia.org/wiki/Carya_tomentosa
w maple,w maple,Maple,Maple,Illinois v2.0,
w o,w o,White oak,Oak,Illinois v2.0,
w o.,w o.,White oak,Oak,Illinois v2.0,
w oak,w oak,White oak,Oak,Illinois v2.0,
w oaks,w oaks,White oak,Oak,Illinois v2.0,
w ok,w ok,White oak,Oak,Illinois v2.0,
W ok,W ok,White oak,Oak,Illinois v2.0,
w oke,w oke,White oak,Oak,Illinois v2.0,
w poplar,w poplar,Poplar,Poplar/tulip poplar,Illinois v2.0,
w thorn,w thorn,Other hardwood,Other hardwood,Illinois v2.0,
w walnt,w walnt,Walnut,Walnut,Illinois v2.0,
w walnut,w walnut,White walnut,Walnut,Illinois v2.0,CVC at level 2 this would be white walnut and walnut at level 3a; JP changed Level 2 from butternut to White walnut 1-31-14
w wood,w wood,Tulip poplar,Tulip poplar,Illinois v2.0,
w.,w.,Unknown tree,Unknown tree,Illinois v2.0,
w. (88888),w. (88888),Unknown tree,Unknown tree,Illinois v2.0,
w. ash,w. ash,Ash,Ash,Illinois v2.0,
w. beech,w. beech,Ironwood,Ironwood,Illinois v2.0,
w. nut,w. nut,Walnut,Walnut,Illinois v2.0,
w. o.,w. o.,White oak,Oak,Illinois v2.0,
w. oak,w. oak,White oak,Oak,Illinois v2.0,
w. walnut,w. walnut,Walnut,Walnut,Illinois v2.0,
w. wood,w. wood,Tulip poplar,Tulip poplar,Illinois v2.0,
w.o,w.o,White oak,Oak,Illinois v2.0,
w.o.,w.o.,White oak,Oak,Illinois v2.0,
walnut,walnut,Walnut,Walnut,Illinois v2.0,
walt,walt,Walnut,Walnut,Illinois v2.0,
water,water,Water,Water,Illinois v2.0,
Water,Water,Water,Water,Illinois v2.0,
water beech,water beech,Ironwood,Ironwood,Illinois v2.0,
water birch,water birch,Water Birch,Birch,Illinois v2.0,CVC species uncertain but at level 3a goes to birch. JP to check because Beech could look like Birch in PLS scribble; JP sent to CVC 1-31-14 - still looks like birch to me, but wanted Charlie's opinion. Charlie agrees
water oak,water oak,Oak,Oak,Illinois v2.0,
wet,wet,Wet,No tree,Illinois v2.0,5-15-19 For the pls products manuscript we have decided to use the "Wet" entries in our analyses so the Level3a label is now "No Tree" (in comparison "Water" entries are removed from the analyses)
wh ash,wh ash,White ash,Ash,Illinois v2.0,
wh. oak,wh. oak,White oak,Oak,Illinois v2.0,
whi oak,whi oak,White oak,Oak,Illinois v2.0,
whit oak,whit oak,White oak,Oak,Illinois v2.0,
white,white,Unknown tree,Unknown tree,Illinois v2.0,
white ash,white ash,Ash,Ash,Illinois v2.0,
white elm,white elm,White elm,Elm,Illinois v2.0,
white hickory,white hickory,Hickory,Hickory,Illinois v2.0,
white o,white o,White oak,Oak,Illinois v2.0,
white o.,white o.,White oak,Oak,Illinois v2.0,
white oak,white oak,White oak,Oak,Illinois v2.0,
White Oak,White Oak,White oak,Oak,Illinois v2.0,
white sugar tree,white sugar tree,Maple,Maple,Illinois v2.0,
white thorn,white thorn,Other hardwood,Other hardwood,Illinois v2.0,
white thorn bush,white thorn bush,Other hardwood,Other hardwood,Illinois v2.0,
white walnut,white walnut,White walnut,Walnut,Illinois v2.0,
whoak,whoak,White oak,Oak,Illinois v2.0,
wild cherry,wild cherry,Cherry,Cherry,Illinois v2.0,
willow,willow,Willow,Willow,Illinois v2.0,
willow oak,willow oak,Oak,Oak,Illinois v2.0,
wo,wo,White oak,Oak,Illinois v2.0,
wo.,wo.,White oak,Oak,Illinois v2.0,
woak,woak,White oak,Oak,Illinois v2.0,
wok,wok,White oak,Oak,Illinois v2.0,
yel. locust,yel. locust,Locust,Locust,Illinois v2.0,
yellow oak,yellow oak,Yellow oak,Oak,Illinois v2.0,
88888,88888,Name illegible,Unknown tree,Indiana v2.0,
99999,99999,Name missing,Unknown tree,Indiana v2.0,
(?) Elm,(?) Elm,Elm,Elm,Indiana v2.0,
? oak,88888 oak,Oak,Oak,Indiana v2.0,
Alder,Alder,Alder,Alder,Indiana v2.0,
allum,allum,Elm,Elm,Indiana v2.0,
Allum,Allum,Elm,Elm,Indiana v2.0,
apsen,apsen,Aspen,Poplar,Indiana v2.0,
ash,ash,Ash,Ash,Indiana v2.0,
Ash,Ash,Ash,Ash,Indiana v2.0,
ash bush,ash bush,Ash,Ash,Indiana v2.0,
Aspen,aspen,Aspen,Poplar,Indiana v2.0,
Aspen,Aspen,Aspen,Poplar,Indiana v2.0,
aspen or quaking asp,aspen or quaking asp,Aspen,Poplar,Indiana v2.0,
aspentree,aspentree,Aspen,Poplar,Indiana v2.0,
aspin,aspin,Aspen,Poplar,Indiana v2.0,
Aspin,Aspin,Aspen,Poplar,Indiana v2.0,
b,b,Unknown tree,Unknown tree,Indiana v2.0,
B,B,Unknown tree,Unknown tree,Indiana v2.0,
B 99999,B 99999,Unknown tree,Unknown tree,Indiana v2.0,
b alder,b alder,Alder,Alder,Indiana v2.0,
B alder,B alder,Alder,Alder,Indiana v2.0,
b ash,b ash,Black/blue ash,Ash,Indiana v2.0,
B ash,B ash,Black/blue ash,Ash,Indiana v2.0,
B Ash,B Ash,Black/blue ash,Ash,Indiana v2.0,
b beech,b beech,Blue beech,Ironwood,Indiana v2.0,
B Cherry,B Cherry,Black cherry,Cherry,Indiana v2.0,
b elder,b elder,Box elder,Maple,Indiana v2.0,
b elm,b elm,Bitter elm,Elm,Indiana v2.0,
B G,B G,Unknown tree,Unknown tree,Indiana v2.0,
b gum,b gum,Black gum,Black gum,Indiana v2.0,
B gum,B gum,Black gum,Black gum,Indiana v2.0,
B Gum,B Gum,Black gum,Black gum,Indiana v2.0,
B Gum Stump,B Gum Stump,Black gum,Black gum,Indiana v2.0,
B Haw,B Haw,Hawthorn,Other hardwood,Indiana v2.0,
b haw,b haw,Hawthorn,Other hardwood,Indiana v2.0,
B Hickory,B Hickory,Black hickory,Hickory,Indiana v2.0,
b hicky,b hicky,Black hickory,Hickory,Indiana v2.0,
b jack,b jack,Blackjack oak,Oak,Indiana v2.0,
B jack,B jack,Blackjack oak,Oak,Indiana v2.0,
B Jack,B Jack,Blackjack oak,Oak,Indiana v2.0,
b o,b o,Black/burr oak,Oak,Indiana v2.0,
B oak,B oak,Black/burr oak,Oak,Indiana v2.0,
B Oak,B Oak,Black/burr oak,Oak,Indiana v2.0,
B OAK,B OAK,Black/burr oak,Oak,Indiana v2.0,
b oak ,b oak,Black/burr oak,Oak,Indiana v2.0,
b oak bush,b oak bush,Black/burr oak,Oak,Indiana v2.0,
b ok,b ok,Black/burr oak,Oak,Indiana v2.0,
B Ok,B Ok,Black/burr oak,Oak,Indiana v2.0,
b walnut,b walnut,Black walnut,Walnut,Indiana v2.0,
B walnut,B walnut,Black walnut,Walnut,Indiana v2.0,
B Walnut,B Walnut,Black walnut,Walnut,Indiana v2.0,
b.,b.,Unknown tree,Unknown tree,Indiana v2.0,
b. ash,b. ash,Black/blue ash,Ash,Indiana v2.0,
B. ash,B. ash,Black/blue ash,Ash,Indiana v2.0,
B. Ash,B. Ash,Black/blue ash,Ash,Indiana v2.0,
b. gum,b. gum,Black gum,Black gum,Indiana v2.0,
B. Gum,B. Gum,Black gum,Black gum,Indiana v2.0,
b. hicky,b. hicky,Black hickory,Hickory,Indiana v2.0,
b. jack,b. jack,Blackjack oak,Oak,Indiana v2.0,
B. Jack,B. Jack,Blackjack oak,Oak,Indiana v2.0,
B. O,B. O,Black/burr oak,Oak,Indiana v2.0,
B. O.,B. O.,Black/burr oak,Oak,Indiana v2.0,
b. oak,b. oak,Black/burr oak,Oak,Indiana v2.0,
B. oak,B. oak,Black/burr oak,Oak,Indiana v2.0,
B. Oak,B. Oak,Black/burr oak,Oak,Indiana v2.0,
B. tree,B. tree,Unknown tree,Unknown tree,Indiana v2.0,
b. walnut,b. walnut,Black walnut,Walnut,Indiana v2.0,
B. Walnut,B. Walnut,Black walnut,Walnut,Indiana v2.0,
B.Ash,B.Ash,Black/blue ash,Ash,Indiana v2.0,
b.oak,b.oak,Black/burr oak,Oak,Indiana v2.0,
B.Oak,B.Oak,Black/burr oak,Oak,Indiana v2.0,
basswood,basswood,Basswood,Basswood,Indiana v2.0,
Bastard Beech,Bastard Beech,Beech,Beech,Indiana v2.0,
bastard birch,bastard birch,Birch,Birch,Indiana v2.0,
Bech,Bech,Beech,Beech,Indiana v2.0,
beech,beech,Beech,Beech,Indiana v2.0,
Beech,Beech,Beech,Beech,Indiana v2.0,
beech (double),beech (double),Beech,Beech,Indiana v2.0,
Beech sapling,Beech sapling,Beech,Beech,Indiana v2.0,
Beech Sapling,Beech Sapling,Beech,Beech,Indiana v2.0,
beech sapling,beech sapling,Beech,Beech,Indiana v2.0,
beech stump,beech stump,Beech,Beech,Indiana v2.0,
beech tree,beech tree,Beech,Beech,Indiana v2.0,
beeh,beeh,Beech,Beech,Indiana v2.0,
birch,birch,Birch,Birch,Indiana v2.0,
Birch,Birch,Birch,Birch,Indiana v2.0,
bitter elm,bitter elm,Bitter elm,Elm,Indiana v2.0,
Bitter Elm,Bitter Elm,Bitter elm,Elm,Indiana v2.0,
BJack,BJack,Blackjack oak,Oak,Indiana v2.0,
bk ash,bk ash,Black ash,Ash,Indiana v2.0,
bk oak,bk oak,Blackjack/black oak,Oak,Indiana v2.0,
bk walnut,bk walnut,Black walnut,Walnut,Indiana v2.0,
bl ash,bl ash,Black/blue ash,Ash,Indiana v2.0,
Bl Ash,Bl Ash,Black ash,Ash,Indiana v2.0,
Bl Gum,Bl Gum,Black gum,Black gum,Indiana v2.0,
bl jack,bl jack,Blackjack oak,Oak,Indiana v2.0,
Bl Jack,Bl Jack,Blackjack oak,Oak,Indiana v2.0,
bl oak,bl oak,Black oak,Oak,Indiana v2.0,CVC probably black oak given abundance
Bl oak,Bl oak,Black oak,Oak,Indiana v2.0,
Bl Oak,Bl Oak,Black oak,Oak,Indiana v2.0,
bl ok,bl ok,Black oak,Oak,Indiana v2.0,
Bl Ok,Bl Ok,Black oak,Oak,Indiana v2.0,
bl walnut,bl walnut,Black walnut,Walnut,Indiana v2.0,
Bl Walnut,Bl Walnut,Black walnut,Walnut,Indiana v2.0,
Bl. Ash,Bl. Ash,Black/blue ash,Ash,Indiana v2.0,
bl. oak,bl. oak,Black oak,Oak,Indiana v2.0,
Bl. oak,Bl. oak,Black oak,Oak,Indiana v2.0,
Bl. Oak,Bl. Oak,Black oak,Oak,Indiana v2.0,
Bl. Walnut,Bl. Walnut,Black walnut,Walnut,Indiana v2.0,
black,black,Unknown tree,Unknown tree,Indiana v2.0,
black 99999,black 99999,Unknown tree,Unknown tree,Indiana v2.0,
black ash,black ash,Black ash,Ash,Indiana v2.0,
Black ash,Black ash,Black ash,Ash,Indiana v2.0,
Black Ash,Black Ash,Black ash,Ash,Indiana v2.0,
Black Beech,Black Beech,Beech,Beech,Indiana v2.0,
black cherry,black cherry,Black cherry,Cherry,Indiana v2.0,
black gum,black gum,Black gum,Black gum,Indiana v2.0,
Black Gum,Black Gum,Black gum,Black gum,Indiana v2.0,
black jack,black jack,Blackjack oak,Oak,Indiana v2.0,
Black Jack,Black Jack,Blackjack oak,Oak,Indiana v2.0,
black locust,black locust,Black locust,Locust,Indiana v2.0,
black oak,black oak,Black oak,Oak,Indiana v2.0,
black Oak,black Oak,Black oak,Oak,Indiana v2.0,
Black oak,Black oak,Black oak,Oak,Indiana v2.0,
Black Oak,Black Oak,Black oak,Oak,Indiana v2.0,
Black Oak Tree,Black Oak Tree,Black oak,Oak,Indiana v2.0,
black ok,black ok,Black oak,Oak,Indiana v2.0,
black or yellow oak,black or yellow oak,Oak,Oak,Indiana v2.0,
Black poplar,Black poplar,Poplar,Poplar/tulip poplar,Indiana v2.0,
black walnut,black walnut,Black walnut,Walnut,Indiana v2.0,
Black walnut,Black walnut,Black walnut,Walnut,Indiana v2.0,
Black Walnut,Black Walnut,Black walnut,Walnut,Indiana v2.0,
blk ash,blk ash,Black ash,Ash,Indiana v2.0,
Blk ash,Blk ash,Black ash,Ash,Indiana v2.0,
Blk Ash,Blk Ash,Black ash,Ash,Indiana v2.0,
blk gum,blk gum,Black gum,Black gum,Indiana v2.0,
Blk Gum,Blk Gum,Black gum,Black gum,Indiana v2.0,
blk hickory,blk hickory,Black hickory,Hickory,Indiana v2.0,
blk hicky,blk hicky,Hickory,Hickory,Indiana v2.0,
blk jack,blk jack,Blackjack oak,Oak,Indiana v2.0,
blk O,blk O,Black oak,Oak,Indiana v2.0,
blk oak,blk oak,Black oak,Oak,Indiana v2.0,
Blk oak,Blk oak,Black oak,Oak,Indiana v2.0,
Blk Oak,Blk Oak,Black oak,Oak,Indiana v2.0,
blk walnut,blk walnut,Black walnut,Walnut,Indiana v2.0,
Blk Walnut ,Blk Walnut,Black walnut,Walnut,Indiana v2.0,
blk. ash,blk. ash,Black ash,Ash,Indiana v2.0,
Blk. Ash,Blk. Ash,Black ash,Ash,Indiana v2.0,
Blk. Oak,Blk. Oak,Black oak,Oak,Indiana v2.0,
blue ash,blue ash,Blue ash,Ash,Indiana v2.0,
Blue ash,Blue ash,Blue ash,Ash,Indiana v2.0,
Blue Ash,Blue Ash,Blue ash,Ash,Indiana v2.0,
Blue Ash Sapling,Blue Ash Sapling,Blue ash,Ash,Indiana v2.0,
blue beech,blue beech,Blue Beech,Ironwood,Indiana v2.0,
Blue beech,Blue beech,Blue Beech,Ironwood,Indiana v2.0,
Blue Beech,Blue Beech,Blue Beech,Ironwood,Indiana v2.0,
boak,boak,Black/burr oak,Oak,Indiana v2.0,
Box elder,Box elder,Box elder,Maple,Indiana v2.0,
Box Elder,Box Elder,Box elder,Maple,Indiana v2.0,
box elder ,box elder,Box elder,Maple,Indiana v2.0,
box elm,box elm,Other hardwood,Other hardwood,Indiana v2.0,
boxelder,boxelder,Box elder,Maple,Indiana v2.0,
Boxelder,Boxelder,Box elder,Maple,Indiana v2.0,
boxwood,boxwood,Boxwood,Maple,Indiana v2.0,
Boxwood,Boxwood,Boxwood,Maple,Indiana v2.0,
br oak,br oak,Burr oak,Oak,Indiana v2.0,
Br oak,Br oak,Burr oak,Oak,Indiana v2.0,
Br Oak,Br Oak,Burr oak,Oak,Indiana v2.0,
br. oak,br. oak,Burr oak,Oak,Indiana v2.0,
Br. Oak,Br. Oak,Burr oak,Oak,Indiana v2.0,
buck,buck,Buckeye,Buckeye,Indiana v2.0,
Buck eye,Buck eye,Buckeye,Buckeye,Indiana v2.0,
Buckey,Buckey,Buckeye,Buckeye,Indiana v2.0,
buckeye,buckeye,Buckeye,Buckeye,Indiana v2.0,
Buckeye,Buckeye,Buckeye,Buckeye,Indiana v2.0,
Buckeye sapling,Buckeye sapling,Buckeye,Buckeye,Indiana v2.0,
buckhorn,buckhorn,Other hardwood,Other hardwood,Indiana v2.0,
bur oak,bur oak,Burr oak,Oak,Indiana v2.0,
Bur Oak,Bur Oak,Burr oak,Oak,Indiana v2.0,
Bur. O.,Bur. O.,Burr oak,Oak,Indiana v2.0,
burr o,burr o,Burr oak,Oak,Indiana v2.0,
Burr O.,Burr O.,Burr oak,Oak,Indiana v2.0,
burr o.,burr o.,Burr oak,Oak,Indiana v2.0,
burr oak,burr oak,Burr oak,Oak,Indiana v2.0,
burr Oak,burr Oak,Burr oak,Oak,Indiana v2.0,
Burr oak,Burr oak,Burr oak,Oak,Indiana v2.0,
Burr Oak,Burr Oak,Burr oak,Oak,Indiana v2.0,
burroak,burroak,Burr oak,Oak,Indiana v2.0,
butternut,butternut,Butternut,Walnut,Indiana v2.0,
Butternut,Butternut,Butternut,Walnut,Indiana v2.0,
buttonwood,buttonwood,Sycamore,Sycamore,Indiana v2.0,
C oak,C oak,Chestnut oak,Oak,Indiana v2.0,
C Oak,C Oak,Chestnut oak,Oak,Indiana v2.0,
C. Oak,C. Oak,Chestnut oak,Oak,Indiana v2.0,
cedar,cedar,Cedar,Cedar/juniper,Indiana v2.0,
Cedar,Cedar,Cedar,Cedar/juniper,Indiana v2.0,
cherry,cherry,Cherry,Cherry,Indiana v2.0,
Cherry,Cherry,Cherry,Cherry,Indiana v2.0,
Cherry bush,Cherry bush,Cherry,Cherry,Indiana v2.0,
cherry tree,cherry tree,Cherry,Cherry,Indiana v2.0,
Cherry tree,Cherry tree,Cherry,Cherry,Indiana v2.0,
Cherry Tree,Cherry Tree,Cherry,Cherry,Indiana v2.0,
cherrytree,cherrytree,Cherry,Cherry,Indiana v2.0,
Cherrytree,Cherrytree,Cherry,Cherry,Indiana v2.0,
chery,chery,Cherry,Cherry,Indiana v2.0,
ches oak,ches oak,Chestnut oak,Oak,Indiana v2.0,
Ches Oak,Ches Oak,Chestnut oak,Oak,Indiana v2.0,
ches. oak,ches. oak,Chestnut oak,Oak,Indiana v2.0,
Ches. Oak,Ches. Oak,Chestnut oak,Oak,Indiana v2.0,
chesnut,chesnut,Chestnut  ,Chestnut,Indiana v2.0,
Chesnut,Chesnut,Chestnut  ,Chestnut,Indiana v2.0,
chesnut oak,chesnut oak,Chestnut oak,Oak,Indiana v2.0,
Chesnut Oak,Chesnut Oak,Chestnut oak,Oak,Indiana v2.0,
Chest,Chest,Chestnut  ,Chestnut,Indiana v2.0,
chest oak,chest oak,Chestnut oak,Oak,Indiana v2.0,CVC level 2 would be chestnut oak
Chest.,Chest.,Chestnut  ,Chestnut,Indiana v2.0,
Chest. Oak,Chest. Oak,Chestnut oak,Oak,Indiana v2.0,
chestnut,chestnut,Chestnut  ,Chestnut,Indiana v2.0,
Chestnut,Chestnut,Chestnut  ,Chestnut,Indiana v2.0,
chestnut oak,chestnut oak,Chestnut oak,Oak,Indiana v2.0,
Chestnut Oak,Chestnut Oak,Chestnut oak,Oak,Indiana v2.0,
coffee nut,coffee nut,Kentucky coffee tree,Other hardwood,Indiana v2.0,
Coffee nut,Coffee nut,Kentucky coffee tree,Other hardwood,Indiana v2.0,
Coffee Nut,Coffee Nut,Kentucky coffee tree,Other hardwood,Indiana v2.0,
coffee tree,coffee tree,Kentucky coffee tree,Other hardwood,Indiana v2.0,
Coffee tree,Coffee tree,Kentucky coffee tree,Other hardwood,Indiana v2.0,
coffeenut,coffeenut,Kentucky coffee tree,Other hardwood,Indiana v2.0,
Coffeenut,Coffeenut,Kentucky coffee tree,Other hardwood,Indiana v2.0,
Coffeetree,Coffeetree,Kentucky coffee tree,Other hardwood,Indiana v2.0,
cotton,cotton,Cottonwood,Poplar,Indiana v2.0,
Cotton tree,Cotton tree,Cottonwood,Poplar,Indiana v2.0,
cottond,cottond,Cottonwood,Poplar,Indiana v2.0,
Cottontree,Cottontree,Cottonwood,Poplar,Indiana v2.0,
cottonw,cottonw,Cottonwood,Poplar,Indiana v2.0,
cottonwd,cottonwd,Cottonwood,Poplar,Indiana v2.0,
cottonwood,cottonwood,Cottonwood,Poplar,Indiana v2.0,
Cottonwood,Cottonwood,Cottonwood,Poplar,Indiana v2.0,
Cottowd,Cottowd,Cottonwood,Poplar,Indiana v2.0,
crab aple,crab aple,Crab apple,Other hardwood,Indiana v2.0,
crab apple,crab apple,Crab apple,Other hardwood,Indiana v2.0,
crab apple tree,crab apple tree,Crab apple,Other hardwood,Indiana v2.0,
crabapple,crabapple,Crab apple,Other hardwood,Indiana v2.0,
Crabapple,Crabapple,Crab apple,Other hardwood,Indiana v2.0,
crabapple tree,crabapple tree,Crab apple,Other hardwood,Indiana v2.0,
dbl br oak,dbl br oak,Burr oak,Oak,Indiana v2.0,
dead tam hump,dead tam hump,Tamerack,Tamarack,Indiana v2.0,
Dead white oak,Dead white oak,White Oak,Oak,Indiana v2.0,
dog wood,dog wood,Dogwood,Dogwood,Indiana v2.0,
dogw,dogw,Dogwood,Dogwood,Indiana v2.0,
dogw.,dogw.,Dogwood,Dogwood,Indiana v2.0,
Dogw.,Dogw.,Dogwood,Dogwood,Indiana v2.0,
dogwd,dogwd,Dogwood,Dogwood,Indiana v2.0,
dogwD,dogwD,Dogwood,Dogwood,Indiana v2.0,
Dogwd,Dogwd,Dogwood,Dogwood,Indiana v2.0,
dogwod,dogwod,Dogwood,Dogwood,Indiana v2.0,
dogwood,dogwood,Dogwood,Dogwood,Indiana v2.0,
Dogwood,Dogwood,Dogwood,Dogwood,Indiana v2.0,
dog-wood,dog-wood,Dogwood,Dogwood,Indiana v2.0,
double beech,double beech,Beech,Beech,Indiana v2.0,
Double br oak,Double br oak,Burr oak,Oak,Indiana v2.0,
Double maple,Double maple,Maple,Maple,Indiana v2.0,
Double P oak,Double P oak,Pin/post oak,Oak,Indiana v2.0,
double r oak,double r oak,Red oak,Oak,Indiana v2.0,
double w oak,double w oak,White Oak,Oak,Indiana v2.0,
Double W oak,Double W oak,White Oak,Oak,Indiana v2.0,
Double W. Oak,Double W. Oak,White Oak,Oak,Indiana v2.0,
double y oak,double y oak,Yellow oak,Oak,Indiana v2.0,
dry r oak,dry r oak,Red Oak,Oak,Indiana v2.0,
dry w oak,dry w oak,White Oak,Oak,Indiana v2.0,
E,E,Unknown tree,Unknown tree,Indiana v2.0,
Elder,Elder,Box elder,Maple,Indiana v2.0,
elm,elm,Elm,Elm,Indiana v2.0,
Elm,Elm,Elm,Elm,Indiana v2.0,
